"id","levelId","levelName","paperName","question","optionA","optionB","optionC","optionD","answer","answerIndex","explanation","enabled"
"lesson7-第七課-深藍的憂鬱-小卷-1","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","下列「勝」字的讀音，何者與其他三者不同？","略「勝」一籌","引人入「勝」","美不「勝」收","旗開得「勝」","C","2","(A)(B)(D)ㄕㄥˋ(C)ㄕㄥ","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-2","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","下列「 」中的「窮」字，何者字義為「荒僻、偏遠」？","「窮」鄉僻壤","層出不「窮」","家境貧「窮」","「窮」則獨善其身","A","0","(B)盡、止(C)貧乏、貧困(D)困厄、不顯達","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-3","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","「連續打了幾天仗，敵軍突然偃旗息鼓，不知有何陰謀？」句中的「偃旗息鼓」換成下列哪個成語文意改變？","鳴金收兵","偃兵息甲","銷聲匿跡","重整旗鼓","D","3","(D)重新整頓發號施令的旗幟和戰鼓。比喻失敗後積聚力量，重新行動。(A)(B)(C)近義(D)反義","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-4","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","把一個詞彙原來的詞性靈活地轉變為其他詞性的修辭，就稱為「轉品」。下列「 」中的字，何者屬於把名詞轉成副詞？","「雪」花片片","騎車「蛇」行","「落」 英繽紛","不「菸」不酒","B","1","(A)名詞轉形容詞(C)動詞轉形容詞(D)名詞轉動詞","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-5","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","下列文句，何者有冗言贅字？","他從小就喜歡閱讀各類書籍，增廣見聞","老師在課堂上循循善誘，啟發學生思考","這篇文章的內容十分簡要扼要，容易理解","小美因為貪玩忘了寫作業，被老師批評","C","2","(C)「簡要」、「扼要」擇一刪","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-6","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","「我已信心全失，沮喪得無地自容，只好偃旗息鼓，一個人躲在沒人知道的地方，放聲哭泣。」這段話可以推知，棋王當時的心境最接近下列何者？","因遭遇失敗而自覺羞辱，陷入低潮","因連續獲勝而感到孤單落寞","因被世人讚賞而心生驕傲","因比賽壓力過大而選擇放棄參賽","A","0","「信心全失」「沮喪」「無地自容」等詞都顯示因棋王因屢敗而自覺羞辱、陷入低潮，故選(A)","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-7","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","「電腦即將接管世界了！人類的智慧還有用嗎？」這句話主要表現出何種含意？","擔心人類智慧將被電腦取代","科學家憂心電腦可能毀滅世界","棋王認為電腦智慧只是人類的附屬品","媒體渲染電腦的能力其實遠超人類","A","0","除了凸顯棋王對於連敗的挫敗，也顯示人類對智慧被電腦超越的恐懼，故選(A)","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-8","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","「我常常在夢裡看到一個全身藍色衣服的翩翩少年站在我前面，絮絮叨叨說些我聽不懂的話」這段文字主要寓意為何？","少年代表人類未來的新希望","棋王因連敗而留下的創傷揮之不去","夢境顯示棋王即將贏回比賽","少年象徵人類與電腦和平共存","B","1","「夢裡不斷出現藍衣少年」象徵潛意識揮之不去的夢魘，正是被深藍擊敗帶來的心理創傷，故選(B)","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-9","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","「深藍禮貌地對我鞠躬，我竟不自覺地對機器點頭。我面對的是一個可敬可怕的對手，卻不是人類。」這段文字主要揭示什麼意涵？","棋王意識到自己比深藍更有人性","棋王藉禮貌行為表示對深藍的熱愛","棋王一度忘卻深藍是電腦，顯示機器已極接近人類","棋王因對深藍的恐懼而決定棄賽","C","2","棋王「不自覺地點頭」代表把深藍當成人，暗示機器外貌與舉止幾乎與人無異，故選(C)","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-10","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","關於深藍的憂鬱的寫作手法，下列敘述何者正確？","以棋王外型對比，強化深藍外形的聰慧俊美特徵","以懸疑鋪墊，引導讀者期待深藍勝利的最終結果","以情節轉折，呈現棋王從勝利走向失落的歷程","以形象翻轉，展現機器流露情感引發人性思考","D","3","深藍由冷酷的機器，最後竟「大聲哭起來」，甚至自稱「更像人類」。這種設計使人機界線模糊，引發思考，故選(D)。(A)未描述棋王的外型，也無對比(B)應該是棋局的輸贏結果，而非深藍的勝利(C)應是從失落到勝利","TRUE"
"lesson7-第七課-深藍的憂鬱-1","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","下列有關「科幻小說」的寫作內容特色，何者說明最恰當？","題材須以已驗證的科學為內容","故事的時空背景經常超乎現實","具備有文學性及宗教性等特色","讀小說前須具備宇宙相關知識","B","1","(A) 常以想像中的科學為要素(C)宗教性不屬於科幻小說特色(D)無須具備","TRUE"
"lesson7-第七課-深藍的憂鬱-2","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","深藍的憂鬱：「電腦即將接管世界了！人類的智慧還有用嗎？」上句中，透過棋王呈現出人類的什麼想法？","憂心人類將被電腦取代","激勵自我充實跟上時代腳步","對電腦的進步感到興奮期待","對於科技的進步感到無可奈何","A","0","此句呈現人類對於電腦智慧將要超越自己有著憂慮與恐懼，故選(A)","TRUE"
"lesson7-第七課-深藍的憂鬱-3","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","本文以「深藍的憂鬱」為篇名，這樣命名的用意，最不可能是下列何者？","「深藍」是一具有人類型態的電腦名稱","因為植入腦中的電腦晶片是深藍色的","深藍電腦輸棋時發出憂鬱而沮喪的感嘆","棋王被深藍電腦打敗所以憂鬱","B","1","(B)文中未提及","TRUE"
"lesson7-第七課-深藍的憂鬱-4","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","時忠想了解更多作家黃海的資料，請問他可以在電腦資料檢索系統中鍵入哪些關鍵字，就能最快得到相關資訊？","科學兒童編輯、科幻小說、兒童讀物","臺灣科幻小說先驅、聯合報編輯","黃炳煌、科幻作品、中山文藝獎","現代短篇小說、流浪地球、奇異航行記","C","2","(C)打出作者本名將最快找到其相關資料","TRUE"
"lesson7-第七課-深藍的憂鬱-5","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","下列成語的詞性結構，何者與「偃旗息鼓」相同？","利令智昏","拋磚引玉","起承轉合","窮途末路","B","1","題幹與(B)動名動名。(A)名動名形(C)動動動動(D)形名形名","TRUE"
"lesson7-第七課-深藍的憂鬱-6","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","「不管你站得多高，看得多遠，仍舊有無垠的空間看不盡；不論你算得多快，數得多久，仍然有無窮的時間數不清。」這段文字的意涵，與下列何者最為接近？","一山還有一山高","書到用時方恨少","萬物靜觀皆自得","學海無涯勤是岸","A","0","題幹強調無論站得多高、算得多快，仍有更廣大的空間與時間無法窮盡，意思接近「一山還有一山高」，表示人外有人、天外有天，故選(A)。(B)重在知識不足，(C)重在靜觀體會，(D)重在勤學，皆不合題意。","TRUE"
"lesson7-第七課-深藍的憂鬱-7","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","下列「 」中的字詞，何者意思前後相同？","超群「絕」倫／「絕」妙好計","風度「翩翩」／「翩翩」起舞","情何以「堪」／足「堪」重任","「豎」起拇指／一橫一「豎」","C","2","(A) 卓越、獨一無二／極、非常(B)形容文采風流、舉止灑脫的樣子／形容動作輕盈(C)勝任、承受(D)使物體直立／國字筆畫名稱","TRUE"
"lesson7-第七課-深藍的憂鬱-8","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","「我常常在夢裡看到一個全身藍色衣服的翩翩少年站在我面前，絮絮叨叨說些我聽不懂的話。」棋王的夢境反映了他內心的想法，下列何者推論正確？","為棋王和深藍電腦再次對戰的挫敗留下伏筆","翩翩少年有事託付，故於棋王的夢中出現","棋王無法聽懂深藍電腦所使用的電腦語言","棋王因為敗給了深藍電腦而極度恐懼不安","D","3","(A)再次對戰為棋王勝出(B)(C)文本中並未提及","TRUE"
"lesson7-第七課-深藍的憂鬱-9","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","下列文句，何者通順合邏輯，沒有語病？","數年前慘敗的那件事早已塵封在回憶裡，到現在還是記憶猶新，歷歷在目","知名網紅酒駕，不服警察取締的新聞，迅速傳播，造成普羅大眾的負面形象","自從看了電影棋王大戰電腦之後，我就令劇中男主角所著迷，立刻變粉絲","由馬斯克航太公司所規畫的繞月之旅即將啟程，希望這趟旅程能讓各位滿意","D","3","(A)「塵封在回憶裡」與「記憶猶新」矛盾(B)應為「負面印象」(C)正確句型：我就為……著迷","TRUE"
"lesson7-第七課-深藍的憂鬱-10","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","深藍的憂鬱中提到棋王與深藍最後一次對決時，「雙方行禮如儀，深藍禮貌地對我鞠躬，我竟不自覺地對機器點頭。」棋王點頭的原因應為下列何者？","棋王先禮後兵，展現人類風度","深藍氣場強大，令人膽戰心驚","深藍太像人類，棋王下意識回禮","深藍威力無敵，棋王不得已懾服","C","2","深藍的言行舉止太像人類，棋王甚至忘記他是電腦，因此不自覺地向他回禮，故選(C)","TRUE"
"lesson7-第七課-深藍的憂鬱-11","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","棋王聽了科學家朋友提供的點子後，「展開了難得的微笑，心中長久的陰霾隨之消散，彷彿看到下一次比賽後的勝利歡呼，全人類也都在熱烈鼓掌。」關於這段文句的含義，下列說明何者錯誤？","棋王已經大獲全勝","朋友的方法足以逆轉勝","人類渴望戰勝電腦","棋王想像勝利後的情景","A","0","(A) 棋王此時尚未再一次對戰深藍","TRUE"
"lesson7-第七課-深藍的憂鬱-12","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","深藍的憂鬱一文的結局，極具戲劇性。下列何者說明不正確？","深藍的激烈反應，凸顯機器人已具有人類情感","人腦取得勝利，確立電腦無法取代人類的主題","末句的巧妙的安排，顯示人工智慧的重大突破","利用情感的轉換描述，留下想像與省思的空間","B","1","(B)棋王取得勝利，但是因為超級電腦的晶片，難說是人腦的勝利，且未提及電腦無法取代人類，結局留下懸念","TRUE"
"lesson7-第七課-深藍的憂鬱-13","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","深藍電腦屢屢打敗世界棋王，導致棋王信心全失。如果要安慰他，下列文句何者最適合？","君子要求自我修為，不奢求他人賞識","在磨難的考驗下，感恩益發難能可貴","沒有絕望的處境，只有對絕境絕望的人","用你的頭腦來處理自己，用你的心腸來對待別人","C","2","題幹說明要安慰受挫的棋王，故宜選(C)來鼓勵棋王不要對一再輸棋感到絕望，應力圖振作","TRUE"
"lesson7-第七課-深藍的憂鬱-14","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","下列「 」中的詞語，何者經替換後意思不變？","歡迎大家「指點」，但謝絕惡意攻訐：指指點點","地基打得「扎實」，建築物才堅固：扎扎實實","人人各有「特色」，不該以貌取人：特特色色","雨水足，桃李樹上「結實」纍纍：結結實實","B","1","(A)指示、引導／在人背後批評、說閒話(B)堅固結實(C)事物所表現出獨特的色彩風格／無此用法(D)植物結成果實或種子／形容牢固","TRUE"
"lesson7-第七課-深藍的憂鬱-15","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","(甲)潰不成軍(乙)倚馬可待(丙)丟盔棄甲(丁)叱吒風雲(戊)土崩瓦解(己)敗興而歸。以上哪些成語可以用來表示「慘敗」的狀況？","甲乙丙","乙戊己","甲丙戊","丙丁己","C","2","「潰不成軍」、「丟盔棄甲」、「土崩瓦解」都可形容戰敗或局勢崩潰的慘敗狀況，所以是甲、丙、戊，故選(C)。「倚馬可待」形容文思敏捷，「叱吒風雲」形容聲勢威猛，「敗興而歸」只是掃興離開，不能表示慘敗。","TRUE"
"lesson7-第七課-深藍的憂鬱-16","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","「犯疑心病的人是一種慢性自殺。」（愛默生）這句話的寓意，與下列哪一個成語最相近？","大而化之","處心積慮","杯弓蛇影","掩耳盜鈴","C","2","(A)形容人做事不謹慎、不細心、不拘小節(B)千方百慮，蓄意已久(C)比喻為不存在的事情枉自驚擾(D)比喻妄想瞞騙他人，結果卻只是欺騙自己而已","TRUE"
"lesson7-第七課-深藍的憂鬱-17","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","「每個人都有一首屬於自己的歌。問題是：你想不想把它彈出來。」下列何者最貼近此段文意？","青春不需要留白","活出生命的色彩","音樂是靈魂的詩","傾聽內心的聲音","B","1","文章強調要把屬於自己的歌「彈出來」，意思是展現自我、活出自己獨特的生命色彩，故選(B)。","TRUE"
"lesson7-第七課-深藍的憂鬱-18","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","「吳諄是個下棋高手，但今年他的表現不算好，得勝率只有五成多一點，就他的棋力與威望而言，這個成績算很差。往年棋藝和他不分軒輊的宗憲，今年略勝一籌。吳諄的勁敵蔡宇說：『吳諄弈棋每到終盤時，棋勢往往後勁不足，而給對手可乘之機。』」根據本文，下列敘述何者正確？","吳諄今年賽事的勝場多過敗場","宗憲一直是吳諄的手下敗將","吳諄常因體力不濟而遭滑鐵盧","吳諄常在棋局開始就勝券在握","A","0","根據「得勝率只有五成多一點」可知勝場多過敗場，故選(A)。(B)宗憲往年和吳諄不分軒輊，今年宗憲略勝一籌(C)是棋勢後勁不足，不是體力不濟(D)文中未提及","TRUE"
"lesson7-第七課-深藍的憂鬱-19","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","「治平元年，常州日禺時，天有大聲如雷，乃一大星，幾如月，見於東南。少時而又震一聲，移著西南。又一震而墜在宜興縣民許氏園中。遠近皆見，火光赫然照天，許氏藩籬皆為所焚。是時火息，視地中有一竅如柸大，極深。下視之，星在其中熒熒然，良久漸暗，尚熱不可近。又久之，發其竅，深三尺餘，乃得一圓石，猶熱，其大如拳，一頭微銳，色如鐵，重亦如之。」（沈括 夢溪筆談）上文敘述的是何種自然現象？","閃電","地震","隕石","龍捲風","C","2","文中描述天空有大聲如雷的大星墜落，地面被燒出深洞，最後取得一顆仍發熱、色如鐵的圓石，這些特徵符合隕石墜落，故選(C)。閃電、地震、龍捲風都不會留下這樣的發熱圓石。","TRUE"
"lesson7-第七課-深藍的憂鬱-20","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱","「冒險家不怕坎坷與驚險，發明家無懼油汙與毒氣。有足不出戶的哲學家，有每天不眠不休的科學家。這些在他人眼中無法理解的瘋狂與追求，只能說是出於□□。」根據這段文字的文意脈絡，空格處填入下列何者最恰當？","命運","習慣","智慧","興趣","D","3","冒險家、發明家、哲學家、科學家的瘋狂追求，重點在他們樂於投入且願意承受辛苦，因此空格最適合填「興趣」，故選(D)。「命運」、「習慣」、「智慧」都無法承接這種主動追求與熱愛。","TRUE"
"lesson8-第八課-陋室銘-小卷-1","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","下列「 」中的字，何者前後讀音不同？","褻「瀆」神明／初生之「犢」","初出茅「廬」／「蘆」筍汁","物美價「廉」／垂「簾」聽政","「糯」米飯糰／相「濡」以沫","D","3","(A)ㄉㄨˊ(B)ㄌㄨˊ(C)ㄌㄧㄢˊ(D)ㄋㄨㄛˋ／ㄖㄨˊ","TRUE"
"lesson8-第八課-陋室銘-小卷-2","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","下列「 」中的「素」字，何者為「一向的、平日的」之義？","「素」行不良","留蚊於「素」帳中","尸位「素」餐","穿著樸「素」","A","0","(B)白色的(C)空的、平白的(D)不加雕飾的","TRUE"
"lesson8-第八課-陋室銘-小卷-3","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","下列倒裝句語序還原的對應，何者有誤？","何難之有→難有何事","菊之愛→愛菊","馬首是瞻→瞻馬首","唯兄嫂是依→唯依兄嫂","A","0","(A)有何難","TRUE"
"lesson8-第八課-陋室銘-小卷-4","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","下列借代事物與借代本體的配對，何者正確？","東道主：女婿","梨園子弟：富貴人家子弟","「杏壇」之光：教育界","造福「桑梓」：國家","C","2","(A)主人(B)演藝人員(D)故鄉家園","TRUE"
"lesson8-第八課-陋室銘-小卷-5","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","下列文句，何者有冗言贅字？","他向來勤奮努力，深受同學敬重","這幅畫的色調繁多豐富，極為搶眼","弟弟天真爛漫，常常逗得大家哈哈大笑","我們必須認真準備，迎接即將到來的考試","B","1","(B)「繁多」、「豐富」擇一刪","TRUE"
"lesson8-第八課-陋室銘-小卷-6","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","「山不在高，有仙則名；水不在深，有龍則靈。」關於這段話的理解，下列何者正確？","山水是否出名，全在於外型壯麗","居住的地方能因居住者的德行而有價值","山水必須高深，才會有神仙居住","只有仙人、龍神，才能使人獲得名聲","B","1","作者以山水比喻居室，指出地位或外觀並不重要，真正重要的是居住者的品德，故選(B)","TRUE"
"lesson8-第八課-陋室銘-小卷-7","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","「斯是陋室，惟吾德馨。」本句話的寓意最接近下列何者？","陋室雖小，但因景色優美而可貴","陋室清靜，才會讓人忘卻世俗煩惱","陋室簡陋，卻因主人品德而不陋","陋室孤寂，反而讓人心情沉澱思索","C","2","「惟吾德馨」是全文核心，強調德行可使陋室不陋，故選(C)","TRUE"
"lesson8-第八課-陋室銘-小卷-8","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","「無絲竹之亂耳，無案牘之勞形」主要反映了作者對生活的什麼態度？","追求官場功名，為民奔走辛勞","崇尚幽靜生活，不慕權勢繁華","喜愛音樂宴樂，時常陶醉其中","熱衷政務公文，十分樂在其中","B","1","此處強調沒有嘈雜樂音與公務文件干擾，反映作者珍惜閒適幽靜的生活，故選(B)","TRUE"
"lesson8-第八課-陋室銘-小卷-9","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","下列敘述，何者最貼近作者寫「南陽 諸葛廬，西蜀 子雲亭」的用意？","作者羨慕前人居住豪華住宅","作者引用古人事蹟，增加文章氣勢","作者批評諸葛亮與揚雄隱居無用","作者自比前賢，冀望志業有成","D","3","作者藉由歷史人物的居所，表明自己品德才華可與前賢比肩，並期待未來有所作為，故選(D)","TRUE"
"lesson8-第八課-陋室銘-小卷-10","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","關於陋室銘的寫作手法，下列敘述何者正確？","全文多以散句為主，句式雜亂無章","文章僅寫景抒情，沒有議論鋪陳","文中多用對偶句，音韻和諧節奏明快","主要依靠華麗詞藻，展現奢華氣勢","C","2","(A)除了最後一句是散句，其餘皆為對偶句，並不雜亂(B)全文除了寫景抒情，還有議論(D)文章不以華麗詞藻為主","TRUE"
"lesson8-第八課-陋室銘-1","lesson8","第八課 陋室銘","第八課 陋室銘","下列「 」內的「丁」字，何者不是指人？","目不識「丁」","庖「丁」解牛","人「丁」單薄","往來無白「丁」","A","0","(A)字，比喻極易認識的字","TRUE"
"lesson8-第八課-陋室銘-2","lesson8","第八課 陋室銘","第八課 陋室銘","下列哪個「之」字的詞性，和「何陋之有」的「之」字不同？","無絲竹「之」亂耳","無案牘「之」勞形","蓮「之」愛，同予者何人","學而時習「之」，不亦說乎","D","3","題幹與(A)(B)(C)助詞。(D)代詞","TRUE"
"lesson8-第八課-陋室銘-3","lesson8","第八課 陋室銘","第八課 陋室銘","下列「 」中的字，何者用來表示真正的顏色？","草色入簾「青」","往來無「白」丁","可以調「素」琴","閱「金」經","A","0","(B)指不識字的(C)不加雕飾的(D)珍藏的","TRUE"
"lesson8-第八課-陋室銘-4","lesson8","第八課 陋室銘","第八課 陋室銘","「山不在高，有仙則名；水不在深，有龍則靈。」有關這四句的暗喻，下列何者說明正確？","以「山」、「水」比喻作者自己","以「仙」、「龍」比喻陋室","以「山」、「仙」比喻作者自己，以「水」、「龍」比喻陋室","以「山」、「水」比喻陋室，以「仙」、「龍」比喻作者自己","D","3","以「山」、「水」比喻居室；「仙」、「龍」比喻有品德、學識的人，暗指自己，故選(D)","TRUE"
"lesson8-第八課-陋室銘-5","lesson8","第八課 陋室銘","第八課 陋室銘","「苔痕上階綠」除了顯現陋室生意盎然之外，還有下列哪種暗示？","少有訪客","天常陰雨","住處偏遠","交通不便","A","0","(A)由於少有訪客，才會綠苔滿階","TRUE"
"lesson8-第八課-陋室銘-6","lesson8","第八課 陋室銘","第八課 陋室銘","「談笑有鴻儒，往來無白丁。」這二句是借客人來襯托主人的何種人格特質？","一意孤行","目空一切","高傲不群","高雅脫俗","D","3","以客人的庸俗襯托主人的高雅脫俗，才德兼備，故選(D)","TRUE"
"lesson8-第八課-陋室銘-7","lesson8","第八課 陋室銘","第八課 陋室銘","「孔子云：『何陋之有？』」作者在這句話之前，其實還隱藏了下列何句？","有仙則名","君子居之","斯是陋室","惟吾德馨","B","1","出自論語 子罕：「子曰：『君子居之，何陋之有？』」故選(B)","TRUE"
"lesson8-第八課-陋室銘-8","lesson8","第八課 陋室銘","第八課 陋室銘","下列「 」中的字，何者字形應用錯誤？","以身作「則」","「鴻」圖大展","舐「牘」情深","毫無瓜「葛」","C","2","(C)舐「牘」情深→犢","TRUE"
"lesson8-第八課-陋室銘-9","lesson8","第八課 陋室銘","第八課 陋室銘","下列有關陋室銘一文的敘述，何者正確？","本文句子全採對仗形式","本文以「惟吾德馨」貫串全文","開頭四句點明題旨，採用破題法","押韻字有「名、靈、青、丁、經、形、亭」","B","1","(A)並非通篇對仗(C)開頭六句(D)名、靈、馨、青、丁、經、形、亭","TRUE"
"lesson8-第八課-陋室銘-10","lesson8","第八課 陋室銘","第八課 陋室銘","諸葛亮 出師表：「臣本布衣，躬耕於南陽，全性命於亂世，不求聞達於諸侯。」由上文可知，諸葛亮的出身為何？","貴族","富商","平民","奴隸","C","2","「布衣」原指古代平民所穿的衣服，後借代為平民，故選(C)","TRUE"
"lesson8-第八課-陋室銘-11","lesson8","第八課 陋室銘","第八課 陋室銘","下列「 」中的字，何者音義的說明完全正確？","「斯」是陋室：音ㄙ，這、此","談笑有「鴻」儒：音ㄏㄨㄥˊ，知名度很高","可以「調」素琴：音ㄉㄧㄠˋ，彈奏、撫弄","案「牘」：音ㄉㄨˊ，書桌","A","0","(B)大(C)音ㄊㄧㄠˊ(D)書寫文字的木片","TRUE"
"lesson8-第八課-陋室銘-12","lesson8","第八課 陋室銘","第八課 陋室銘","岳飛常為公務煩心，請問下列哪一個詞語不適合形容他為公務所操勞？","案牘勞形","絲竹亂耳","日理萬機","塵務經心","B","1","(C)形容工作非常繁重(D)俗事纏繞於心","TRUE"
